Data Size,Best Case,Worst Case,Average Case
5,2,5,3
10,5,10,7
15,1,15,10
20,1,20,12
25,1,25,15
30,1,30,23
35,1,35,24
40,2,40,25
45,3,45,31
50,1,50,29
55,1,55,37
60,3,60,36
65,1,65,43
70,1,70,40
75,4,75,47
80,2,80,47
85,2,85,54
90,4,90,59
95,1,95,63
100,3,100,68
